RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
914,825,1,7,14,0.0,43,184.170,1:53.510,11,+1 Lap
914,154,208,16,15,0.0,43,181.308,1:55.302,11,+1 Lap
914,813,208,22,16,0.0,43,182.256,1:54.702,11,+1 Lap
914,828,207,17,17,0.0,43,182.309,1:54.669,11,+1 Lap
914,820,206,21,18,0.0,43,179.486,1:56.472,11,+1 Lap
914,155,207,19,19,0.0,43,180.776,1:55.641,11,+1 Lap
914,824,206,18,20,0.0,41,180.240,1:55.985,3,Accident
914,16,15,14,21,0.0,40,180.601,1:55.753,3,Accident
914,4,6,5,22,0.0,2,,,40,Electronics
915,1,131,1,1,25.0,53,207.200,1:41.606,1,Finished
915,3,131,2,2,18.0,53,207.703,1:41.360,1,Finished
915,822,3,3,3,15.0,53,208.658,1:40.896,1,Finished
915,18,1,4,4,12.0,53,206.472,1:41.964,1,Finished
915,825,1,11,5,10.0,53,204.245,1:43.076,1,Finished
915,4,6,7,6,8.0,53,206.038,1:42.179,1,Finished
915,817,9,6,7,6.0,53,204.296,1:43.050,1,Finished
915,20,9,10,8,4.0,53,205.133,1:42.630,1,Finished
915,8,6,8,9,2.0,53,204.556,1:42.919,1,Finished
915,815,10,12,10,1.0,53,204.547,1:42.924,1,Finished
915,13,3,18,11,0.0,53,204.636,1:42.879,1,Finished
915,807,10,17,12,0.0,53,205.023,1:42.685,1,Finished
915,818,5,9,13,0.0,53,205.293,1:42.550,1,Finished
915,826,5,5,14,0.0,52,206.355,1:42.022,11,+1 Lap
915,821,15,13,15,0.0,52,202.284,1:44.075,11,+1 Lap
915,16,15,14,16,0.0,52,202.777,1:43.822,11,+1 Lap
915,154,208,15,17,0.0,52,201.537,1:44.461,11,+1 Lap
915,813,208,21,18,0.0,52,202.372,1:44.030,11,+1 Lap
915,828,207,16,19,0.0,51,202.471,1:43.979,12,+2 Laps
915,155,207,19,20,0.0,21,196.009,1:47.407,23,Brakes
915,820,206,20,21,0.0,9,194.450,1:48.268,22,Suspension
916,1,131,2,1,25.0,56,194.712,1:41.929,1,Finished
916,3,131,1,2,18.0,56,194.706,1:41.932,1,Finished
916,817,9,5,3,15.0,56,193.004,1:42.831,1,Finished
916,13,3,4,4,12.0,56,192.741,1:42.971,1,Finished
916,822,3,3,5,10.0,56,193.617,1:42.505,1,Finished
916,4,6,6,6,8.0,56,195.585,1:41.474,1,Finished
916,20,9,18,7,6.0,56,195.768,1:41.379,1,Finished
916,825,1,7,8,4.0,56,190.309,1:44.287,1,Finished
916,813,208,10,9,2.0,56,191.187,1:43.808,1,Finished
916,818,5,14,10,1.0,56,190.504,1:44.180,1,Finished
916,154,208,16,11,0.0,55,190.030,1:44.440,11,+1 Lap
916,18,1,12,12,0.0,55,190.367,1:44.255,11,+1 Lap
916,8,6,8,13,0.0,55,192.897,1:42.888,11,+1 Lap
916,821,15,15,14,0.0,55,192.676,1:43.006,11,+1 Lap
916,826,5,17,15,0.0,55,195.171,1:41.689,11,+1 Lap
916,807,10,13,16,0.0,16,186.835,1:46.226,5,Engine
916,815,10,11,17,0.0,1,,,130,Collision damage
916,16,15,9,18,0.0,0,,,4,Collision
917,3,131,1,1,25.0,71,210.711,1:13.619,1,Finished
917,1,131,2,2,18.0,71,210.895,1:13.555,1,Finished
917,13,3,3,3,15.0,71,209.341,1:14.101,1,Finished
917,18,1,5,4,12.0,71,209.629,1:13.999,1,Finished
917,20,9,6,5,10.0,71,209.576,1:14.018,1,Finished
917,4,6,8,6,8.0,71,208.744,1:14.313,1,Finished
917,8,6,10,7,6.0,71,206.934,1:14.963,1,Finished
917,807,10,12,8,4.0,71,210.400,1:13.728,1,Finished
917,825,1,7,9,2.0,71,208.097,1:14.544,1,Finished
917,822,3,4,10,1.0,70,208.980,1:14.229,11,+1 Lap
