RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
184,14,1,3,5,2.0,45,,,1,Finished
184,44,20,7,6,1.0,45,,,1,Finished
184,25,22,13,7,0.0,45,,,1,Finished
184,55,15,21,8,0.0,45,,,1,Finished
184,48,18,15,9,0.0,45,,,1,Finished
184,69,18,19,10,0.0,44,,,11,+1 Lap
184,65,24,17,11,0.0,40,,,6,Gearbox
184,37,21,20,12,0.0,37,,,20,Spun off
184,57,1,1,13,0.0,25,,,27,Tyre
184,70,3,14,14,0.0,21,,,24,Differential
184,41,16,18,15,0.0,20,,,5,Engine
184,68,21,22,16,0.0,15,,,5,Engine
184,71,17,8,17,0.0,13,,,23,Brakes
184,15,20,9,18,0.0,10,,,5,Engine
184,21,22,10,19,0.0,7,,,22,Suspension
184,22,24,6,20,0.0,6,,,9,Hydraulics
184,35,16,12,21,0.0,0,,,4,Collision
184,64,15,16,22,0.0,0,,,4,Collision
185,57,1,1,1,10.0,77,,,1,Finished
185,14,1,3,2,6.0,77,,,1,Finished
185,56,6,2,3,4.0,77,,,1,Finished
185,49,17,5,4,3.0,77,,,1,Finished
185,22,24,8,5,2.0,77,,,1,Finished
185,71,17,6,6,1.0,77,,,1,Finished
185,25,22,7,7,0.0,77,,,1,Finished
185,15,20,13,8,0.0,76,,,11,+1 Lap
185,23,3,16,9,0.0,76,,,11,+1 Lap
185,44,20,14,10,0.0,76,,,11,+1 Lap
185,65,24,10,11,0.0,76,,,11,+1 Lap
185,63,6,18,12,0.0,75,,,12,+2 Laps
185,41,16,17,13,0.0,75,,,12,+2 Laps
185,69,18,19,14,0.0,75,,,12,+2 Laps
185,37,21,20,15,0.0,75,,,12,+2 Laps
185,55,15,11,16,0.0,74,,,32,Fuel pressure
185,48,18,22,17,0.0,74,,,13,+3 Laps
185,35,16,9,18,0.0,60,,,8,Clutch
185,21,22,4,19,0.0,52,,,5,Engine
185,68,21,21,20,0.0,26,,,7,Transmission
185,64,15,12,21,0.0,19,,,20,Spun off
185,70,3,15,22,0.0,10,,,24,Differential
186,14,1,2,1,10.0,44,,,1,Finished
186,57,1,1,2,6.0,44,,,1,Finished
186,49,17,3,3,4.0,44,,,1,Finished
186,56,6,6,4,3.0,44,,,1,Finished
186,23,3,5,5,2.0,44,,,1,Finished
186,71,17,4,6,1.0,44,,,1,Finished
186,63,6,9,7,0.0,44,,,1,Finished
186,70,3,8,8,0.0,44,,,1,Finished
186,55,15,16,9,0.0,44,,,1,Finished
186,22,24,7,10,0.0,44,,,1,Finished
186,21,22,13,11,0.0,44,,,1,Finished
