RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POSITION,POINTS,STATUSID,STATUS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,ESTIMATED_FINISH_TIME,ESTIMATED_FINISH_TIME_STR,AVG_LAP_TIME
906,16,15,16,13,13.0,0.0,11,+1 Lap,69,195.692,1:20.226,6540.337,0 days 01:49:00.337000,86.51239130434782
906,821,15,22,14,14.0,0.0,132,ERS,64,195.97,1:20.112,7446.025,0 days 02:04:06.025000,86.481125
906,154,208,14,15,,0.0,65,Rear wing,59,197.107,1:19.650,8371.186,0 days 02:19:31.186000,86.6582372881356
906,826,5,15,16,,0.0,79,Drivetrain,47,196.298,1:19.978,10771.158,0 days 02:59:31.158000,88.43314893617021
906,1,131,2,17,,0.0,23,Brakes,46,198.875,1:18.942,10805.518,0 days 03:00:05.518000,87.21160869565217
906,155,207,21,18,,0.0,22,Suspension,23,188.856,1:23.130,16478.073,0 days 04:34:38.073000,95.69147826086956
906,813,208,17,19,,0.0,131,Power Unit,21,192.6,1:21.514,16855.306,0 days 04:40:55.306000,95.55161904761906
906,828,207,20,20,,0.0,101,Turbo,7,141.385,1:51.041,25292.379,0 days 07:01:32.379000,122.89785714285712
906,820,206,18,21,,0.0,4,Collision,0,,,,NaT,
906,824,206,19,22,,0.0,4,Collision,0,,,,NaT,
907,3,131,3,1,1.0,25.0,1,Finished,71,214.518,1:12.598,5274.976,0 days 01:27:54.976000,74.2954366197183
907,1,131,9,2,2.0,18.0,1,Finished,71,215.65,1:12.217,5276.908,0 days 01:27:56.908000,74.32264788732395
907,822,3,2,3,3.0,15.0,1,Finished,71,214.568,1:12.581,5283.148,0 days 01:28:03.148000,74.41053521126761
907,13,3,1,4,4.0,12.0,1,Finished,71,214.553,1:12.586,5292.334,0 days 01:28:12.334000,74.53991549295775
907,4,6,4,5,5.0,10.0,1,Finished,71,214.527,1:12.595,5293.529,0 days 01:28:13.529000,74.55674647887325
907,815,10,15,6,6.0,8.0,1,Finished,71,215.874,1:12.142,5303.522,0 days 01:28:23.522000,74.69749295774648
907,825,1,6,7,7.0,6.0,1,Finished,71,214.081,1:12.746,5307.007,0 days 01:28:27.007000,74.74657746478873
907,817,9,5,8,8.0,4.0,1,Finished,71,213.161,1:13.060,5318.498,0 days 01:28:38.498000,74.90842253521126
907,807,10,10,9,9.0,2.0,1,Finished,71,212.882,1:13.156,5319.113,0 days 01:28:39.113000,74.91708450704226
907,8,6,8,10,10.0,1.0,1,Finished,71,213.676,1:12.884,5322.753,0 days 01:28:42.753000,74.96835211267606
907,18,1,11,11,11.0,0.0,1,Finished,71,213.752,1:12.858,5325.942,0 days 01:28:45.942000,75.0132676056338
907,813,208,13,12,12.0,0.0,11,+1 Lap,70,212.791,1:13.187,5793.079,0 days 01:36:33.079000,75.54875714285714
907,16,15,16,13,13.0,0.0,11,+1 Lap,70,211.284,1:13.709,5821.93,0 days 01:37:01.930000,75.92501428571428
907,154,208,22,14,14.0,0.0,11,+1 Lap,70,210.587,1:13.953,5860.048,0 days 01:37:40.048000,76.42211428571429
907,824,206,18,15,15.0,0.0,12,+2 Laps,69,209.108,1:14.476,6030.299,0 days 01:40:30.299000,76.51692753623188
907,155,207,19,16,16.0,0.0,12,+2 Laps,69,206.892,1:15.274,6066.822,0 days 01:41:06.822000,76.98036231884059
