RACEID,DRIVERID,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR
177,69,8.0,0 days 01:33:53.344000,01:33:53.344000
177,48,9.0,0 days 01:34:16.112000,01:34:16.112000
177,65,10.0,0 days 01:29:37.619000,01:29:37.619000
177,70,11.0,0 days 01:29:45.043000,01:29:45.043000
177,23,,0 days 00:42:52.208000,00:42:52.208000
177,25,,0 days 00:08:01.536000,00:08:01.536000
177,37,,0 days 00:08:00.812000,00:08:00.812000
177,44,,0 days 01:15:55.648000,01:15:55.648000
177,49,,0 days 01:10:27.090000,01:10:27.090000
177,56,,0 days 01:09:57.831000,01:09:57.831000
177,57,,0 days 00:25:25.912000,00:25:25.912000
177,64,,0 days 01:19:53.188000,01:19:53.188000
177,68,,0 days 00:46:16.071000,00:46:16.071000
178,30,1.0,0 days 01:49:31.812000,01:49:31.812000
178,56,2.0,0 days 01:50:02.288000,01:50:02.288000
178,57,3.0,0 days 01:50:09.295000,01:50:09.295000
178,49,4.0,0 days 01:50:25.821000,01:50:25.821000
178,21,5.0,0 days 01:49:32.705000,01:49:32.705000
178,25,6.0,0 days 01:49:47.799000,01:49:47.799000
178,15,7.0,0 days 01:50:05.845000,01:50:05.845000
178,70,8.0,0 days 01:49:49.514000,01:49:49.514000
178,22,9.0,0 days 01:40:57.711000,01:40:57.711000
178,14,,0 days 00:51:04.063000,00:51:04.063000
178,23,,0 days 01:18:39.706000,01:18:39.706000
178,35,,0 days 00:45:43.711000,00:45:43.711000
178,37,,0 days 00:44:51.758000,00:44:51.758000
178,44,,0 days 00:58:19.531000,00:58:19.531000
178,48,,0 days 00:35:53.524000,00:35:53.524000
178,55,,0 days 01:12:39.935000,01:12:39.935000
178,63,,0 days 00:52:10.908000,00:52:10.908000
178,64,,0 days 01:10:17.884000,01:10:17.884000
178,65,,0 days 00:46:18.632000,00:46:18.632000
178,68,,0 days 00:53:01.863000,00:53:01.863000
178,69,,0 days 00:15:14.013000,00:15:14.013000
178,71,,0 days 00:04:41.990000,00:04:41.990000
179,57,1.0,0 days 01:34:13.665000,01:34:13.665000
179,14,2.0,0 days 01:34:19.903000,01:34:19.903000
179,30,3.0,0 days 01:34:24.510000,01:34:24.510000
179,56,4.0,0 days 01:34:43.847000,01:34:43.847000
179,23,5.0,0 days 01:35:40.873000,01:35:40.873000
179,15,6.0,0 days 01:34:24.028000,01:34:24.028000
179,71,7.0,0 days 01:34:25.044000,01:34:25.044000
179,63,8.0,0 days 01:35:21.065000,01:35:21.065000
179,21,9.0,0 days 01:35:22.704000,01:35:22.704000
179,25,10.0,0 days 01:35:29.548000,01:35:29.548000
179,37,11.0,0 days 01:34:41.268000,01:34:41.268000
179,68,12.0,0 days 01:34:38.929000,01:34:38.929000
179,22,,0 days 01:34:26.916000,01:34:26.916000
179,35,,0 days 00:58:38.276000,00:58:38.276000
179,44,,0 days 00:37:30.846000,00:37:30.846000
179,49,,0 days 00:51:34.456000,00:51:34.456000
179,55,,0 days 00:39:48.894000,00:39:48.894000
179,64,,0 days 00:58:54.533000,00:58:54.533000
179,65,,0 days 00:59:29.425000,00:59:29.425000
179,69,,0 days 01:16:27.807000,01:16:27.807000
179,70,,0 days 00:35:31.319000,00:35:31.319000
180,57,1.0,0 days 01:41:35.728000,01:41:35.728000
180,21,2.0,0 days 01:41:36.509000,01:41:36.509000
180,56,3.0,0 days 01:41:37.524000,01:41:37.524000
180,23,4.0,0 days 01:41:38.119000,01:41:38.119000
180,65,5.0,0 days 01:41:38.532000,01:41:38.532000
180,64,6.0,0 days 01:41:39.438000,01:41:39.438000
180,14,7.0,0 days 01:41:40.731000,01:41:40.731000
180,48,8.0,0 days 01:41:39.918000,01:41:39.918000
180,44,9.0,0 days 01:41:40.658000,01:41:40.658000
180,69,10.0,0 days 01:41:38.063000,01:41:38.063000
180,49,11.0,0 days 01:34:50.784000,01:34:50.784000
180,22,,0 days 00:24:37.962000,00:24:37.962000
180,30,,0 days 00:42:59.412000,00:42:59.412000
180,35,,0 days 00:50:42.083000,00:50:42.083000
180,37,,0 days 00:34:13.284000,00:34:13.284000
180,41,,0 days 00:03:44.846000,00:03:44.846000
180,68,,0 days 01:02:03.910000,01:02:03.910000
180,70,,0 days 01:15:06.199000,01:15:06.199000
