RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR
904,8,6,6,7,6.0,65,185.007,1:30.580,11,+1 Lap,7.0,0 days 01:41:08.447000,01:41:08.447000
904,154,208,5,8,4.0,65,184.016,1:31.068,11,+1 Lap,8.0,0 days 01:41:21.479000,01:41:21.479000
904,815,10,11,9,2.0,65,184.648,1:30.756,11,+1 Lap,9.0,0 days 01:41:22.577000,01:41:22.577000
904,807,10,10,10,1.0,65,183.325,1:31.411,11,+1 Lap,10.0,0 days 01:41:32.981000,01:41:32.981000
904,18,1,8,11,0.0,65,185.042,1:30.563,11,+1 Lap,11.0,0 days 01:41:37.467000,01:41:37.467000
904,825,1,14,12,0.0,65,185.544,1:30.318,11,+1 Lap,12.0,0 days 01:41:38.124000,01:41:38.124000
904,13,3,9,13,0.0,65,185.236,1:30.468,11,+1 Lap,13.0,0 days 01:41:38.705000,01:41:38.705000
904,826,5,12,14,0.0,65,185.645,1:30.269,11,+1 Lap,14.0,0 days 01:41:46.961000,01:41:46.961000
904,813,208,22,15,0.0,65,183.679,1:31.235,11,+1 Lap,15.0,0 days 01:41:55.021000,01:41:55.021000
904,821,15,13,16,0.0,65,184.832,1:30.666,11,+1 Lap,16.0,0 days 01:42:15.363000,01:42:15.363000
904,16,15,16,17,0.0,65,183.201,1:31.473,11,+1 Lap,17.0,0 days 01:42:18.487000,01:42:18.487000
904,824,206,18,18,0.0,64,182.58,1:31.784,12,+2 Laps,18.0,0 days 01:41:29.297000,01:41:29.297000
904,820,206,17,19,0.0,64,182.614,1:31.767,12,+2 Laps,19.0,0 days 01:42:09.988000,01:42:09.988000
904,828,207,19,20,0.0,64,179.517,1:33.350,12,+2 Laps,20.0,0 days 01:42:30.846000,01:42:30.846000
904,155,207,20,21,0.0,34,180.069,1:33.064,23,Brakes,,0 days 00:54:55.779000,00:54:55.779000
904,818,5,21,22,0.0,24,182.586,1:31.781,43,Exhaust,,0 days 00:38:19.607000,00:38:19.607000
905,3,131,1,1,25.0,78,151.388,1:19.425,1,Finished,1.0,0 days 01:49:27.661000,01:49:27.661000
905,1,131,2,2,18.0,78,151.51,1:19.361,1,Finished,2.0,0 days 01:49:36.871000,01:49:36.871000
905,817,9,3,3,15.0,78,151.718,1:19.252,1,Finished,3.0,0 days 01:49:37.275000,01:49:37.275000
905,4,6,5,4,12.0,78,150.814,1:19.727,1,Finished,4.0,0 days 01:50:00.113000,01:50:00.113000
905,807,10,11,5,10.0,77,148.872,1:20.767,11,+1 Lap,5.0,0 days 01:49:48.580000,01:49:48.580000
905,18,1,12,6,8.0,77,148.358,1:21.047,11,+1 Lap,6.0,0 days 01:49:48.772000,01:49:48.772000
905,13,3,16,7,6.0,77,149.712,1:20.314,11,+1 Lap,7.0,0 days 01:49:49.482000,01:49:49.482000
905,154,208,14,8,4.0,77,148.482,1:20.979,11,+1 Lap,8.0,0 days 01:50:06.594000,01:50:06.594000
905,824,206,21,9,2.0,77,147.98,1:21.254,11,+1 Lap,9.0,0 days 01:50:05.135000,01:50:05.135000
