RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR
179,63,16,16,8,0.0,64,,,11,+1 Lap,8.0,0 days 01:35:21.065000,01:35:21.065000
179,21,22,13,9,0.0,64,,,11,+1 Lap,9.0,0 days 01:35:22.704000,01:35:22.704000
179,25,22,18,10,0.0,64,,,11,+1 Lap,10.0,0 days 01:35:29.548000,01:35:29.548000
179,37,21,19,11,0.0,63,,,12,+2 Laps,11.0,0 days 01:34:41.268000,01:34:41.268000
179,68,21,20,12,0.0,62,,,13,+3 Laps,12.0,0 days 01:34:38.929000,01:34:38.929000
179,69,18,22,13,0.0,50,,,20,Spun off,,0 days 01:16:27.807000,01:16:27.807000
179,35,16,6,14,0.0,40,,,6,Gearbox,,0 days 00:58:38.276000,00:58:38.276000
179,64,15,12,15,0.0,40,,,7,Transmission,,0 days 00:58:54.533000,00:58:54.533000
179,65,24,14,16,0.0,40,,,7,Transmission,,0 days 00:59:29.425000,00:59:29.425000
179,49,17,8,17,0.0,35,,,86,Halfshaft,,0 days 00:51:34.456000,00:51:34.456000
179,55,15,5,18,0.0,27,,,7,Transmission,,0 days 00:39:48.894000,00:39:48.894000
179,70,3,17,19,0.0,24,,,6,Gearbox,,0 days 00:35:31.319000,00:35:31.319000
179,44,20,15,20,0.0,24,,,6,Gearbox,,0 days 00:37:30.846000,00:37:30.846000
179,48,18,21,21,0.0,0,,,6,Gearbox,,,
179,22,24,7,22,0.0,64,,,2,Disqualified,,0 days 01:34:26.916000,01:34:26.916000
180,57,1,2,1,10.0,69,,,1,Finished,1.0,0 days 01:41:35.728000,01:41:35.728000
180,21,22,7,2,6.0,69,,,1,Finished,2.0,0 days 01:41:36.509000,01:41:36.509000
180,56,6,3,3,4.0,69,,,1,Finished,3.0,0 days 01:41:37.524000,01:41:37.524000
180,23,3,13,4,3.0,69,,,1,Finished,4.0,0 days 01:41:38.119000,01:41:38.119000
180,65,24,10,5,2.0,69,,,1,Finished,5.0,0 days 01:41:38.532000,01:41:38.532000
180,64,15,18,6,1.0,69,,,1,Finished,6.0,0 days 01:41:39.438000,01:41:39.438000
180,14,1,4,7,0.0,69,,,1,Finished,7.0,0 days 01:41:40.731000,01:41:40.731000
180,48,18,22,8,0.0,68,,,11,+1 Lap,8.0,0 days 01:41:39.918000,01:41:39.918000
180,44,20,15,9,0.0,68,,,11,+1 Lap,9.0,0 days 01:41:40.658000,01:41:40.658000
180,69,18,21,10,0.0,67,,,12,+2 Laps,10.0,0 days 01:41:38.063000,01:41:38.063000
180,49,17,6,11,0.0,65,,,23,Brakes,11.0,0 days 01:34:50.784000,01:34:50.784000
180,70,3,12,12,0.0,50,,,23,Brakes,,0 days 01:15:06.199000,01:15:06.199000
180,68,21,19,13,0.0,41,,,7,Transmission,,0 days 01:02:03.910000,01:02:03.910000
180,35,16,16,14,0.0,34,,,20,Spun off,,0 days 00:50:42.083000,00:50:42.083000
180,30,6,1,15,0.0,29,,,20,Spun off,,0 days 00:42:59.412000,00:42:59.412000
180,37,21,20,16,0.0,22,,,7,Transmission,,0 days 00:34:13.284000,00:34:13.284000
180,71,17,14,17,0.0,14,,,20,Spun off,,0 days 00:23:03.120000,00:23:03.120000
180,22,24,5,18,0.0,14,,,38,Steering,,0 days 00:24:37.962000,00:24:37.962000
180,41,16,17,19,0.0,2,,,20,Spun off,,0 days 00:03:44.846000,00:03:44.846000
180,55,15,8,20,0.0,0,,,4,Collision,,,
180,15,20,9,21,0.0,0,,,4,Collision,,,
180,25,22,11,22,0.0,0,,,7,Transmission,,,
181,49,17,5,1,10.0,72,,,1,Finished,1.0,0 days 01:58:24.343000,01:58:24.343000
181,57,1,14,2,6.0,72,,,1,Finished,2.0,0 days 01:58:35.435000,01:58:35.435000
181,22,24,1,3,4.0,72,,,1,Finished,3.0,0 days 01:59:07.775000,01:59:07.775000
181,23,3,16,4,3.0,72,,,1,Finished,4.0,0 days 01:59:09.818000,01:59:09.818000
181,30,6,6,5,2.0,72,,,1,Finished,5.0,0 days 01:59:12.224000,01:59:12.224000
181,56,6,17,6,1.0,72,,,1,Finished,6.0,0 days 01:59:13.244000,01:59:13.244000
181,15,20,8,7,0.0,72,,,1,Finished,7.0,0 days 01:59:22.114000,01:59:22.114000
181,44,20,3,8,0.0,72,,,1,Finished,8.0,0 days 01:59:22.874000,01:59:22.874000
181,41,16,10,9,0.0,72,,,1,Finished,9.0,0 days 01:59:53.107000,01:59:53.107000
181,69,18,20,10,0.0,71,,,11,+1 Lap,10.0,0 days 01:59:05.221000,01:59:05.221000
181,37,21,21,11,0.0,71,,,11,+1 Lap,11.0,0 days 01:59:48.956000,01:59:48.956000
181,21,22,7,12,0.0,42,,,20,Spun off,,0 days 01:11:51.840000,01:11:51.840000
181,71,17,18,13,0.0,31,,,10,Electrical,,0 days 00:55:49.428000,00:55:49.428000
181,70,3,15,14,0.0,26,,,5,Engine,,0 days 00:39:22.354000,00:39:22.354000
181,35,16,12,15,0.0,25,,,20,Spun off,,0 days 00:36:32.565000,00:36:32.565000
181,25,22,13,16,0.0,25,,,20,Spun off,,0 days 00:36:58.316000,00:36:58.316000
181,48,18,19,17,0.0,25,,,20,Spun off,,0 days 00:37:27.718000,00:37:27.718000
